9
17 70 65 -1
#@@@  &&&&&&&&&&&&! @@@@@@@@@@@@@@@@@@@@@@         &&&&&&&&&&#
#@@@  &&&&&&&&&&&& &&&&&&&&&&&&&&&&&&&&&&         @&&&&&&&&&&#
#@@@ @&&&&&&&&&&&& &&&&&&&&&&&&&&&&&&&&&&     !    &&&&&&&&&&#
#@@@ @&&&&&&&&&&&& &&&&&&&&&&&&&&&&&&&&&&         @&&&&&&&&&&#
#@@@ @&&&&&&&&&&&& &&&&&&&&&&&&&&&&&&&&&&         @&&&&&&&&&&#
#@@@ @&&&&&&&&&&&& &&&&&&&&&&&&&&&&&&&&&&         @&&&&&&&&&&#
#@@@ @&&&&&&&&&&&& &&&&&&&&&&&&&&&&&&&&&&         @&&&&&&&&&&#
#@@@ @&&&&&&&&&&&& &&&&&&&&&&&&&&&&&&&&&&         @&&&&&&&&&&#
#@@@ @&&&&&&&&&&&& &&&&&&&&&&&&&&&&&&&&&&         @&&&&&&&&&&#
#@@@ @&&&&&&&&&&&& &&&&&&&&&&&&&&&&&&&&&&         @&&&&&&&&&&#
#@@@ @&&&&&&&&&&&& &&&&&&&&&&&&&&&&&&&&&&     !    &&&&&&&&&&#
#@@@ @@@@@@@@@@@@@ &&&&&&&&&&&&&&&&&&&&&&         @&&&&&&&&&&#
#@@@        !       @@@@@@@@@@@@@@@@@@@@@@   D     &&&&&&&&&&#
#@&&&&&&&&&&&&&&&&@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@&&&&&&&&&&  #
#@&&&&&&&&&&&&&&&&@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@&&&&&&&&&&  #
#@&&&&&&&&&&&&&&&&@@@@@@@@ D@@@@@@@@@@@@@@@@@@@@@&&&&&&&&&&  #
##############################################################



24 80 500 12
################################################################
# D      /                                                     #
#@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@#
#                                +                  !          #
#@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@#
#                                                              #
############################################       !           #
                                           #                   #
                                           #          +        #
                                           #@@@@@@@@@@@@@@@@@@ #
                                           #                   #
                                           # +                 #
                                           #                   #
                                           #          !        #
                                           # @@@@@@@@@@@@@@@@@ #
                                           #                   #
                                           #                   #
                                           #      !            #
                                           #  @@@@@@@@@@       #
                                           #                   #########################################
                                           #      +                       !                           D#
                                           #############################################################




24  80 500 1
#####################################################
#D      #                !          +               #
# /     #                                           #
#       #                 #######################   #
#       #                 #                     #   #
#       #@@@@@@@@@@@@@@@@@#                     #   #
#       #                 #                     #   #
#       #                 #         D           #  ##
#       #                 #                     #   #
#       #    +            #           !         #   #
#  !    #                 #                     #   #
#       #                 #                     #   #
#       #          !      #   ###################   #
#       #                 #                         #
#       #@@@@@@@@@@@@@@@@@#                         #
#       #                 ###########################
#    +  #                                           #
#       #                                           #
#       ########################################    #
#                                                   #
#                                 !           +     #
#####################################################


31 120 400 1
#####################################
#@@@@D/  @@@@@@@@@@@@@@@@@@@@@@@@@@@#
#@@@@   @@@@@@@@@@@@@@@@@@@@@@@@@@@@#
#@@@@   @@@@@@@@@@@@@@@@@@@@@@@@@@@@#
#@@@@   @@@@@@@@@@@@@@@@@@@@@@@@@@@@#
#@@@@   @@@@@@@@@@@@@@@@@@@@@@@@@@@@#
#@@@@   @@@@@@@@@@@@@@@@@@@@@@@@@@@@#
#@@@@   @@@@@@@@@@@@@@@@@@@@@@@@@@@@#######################
#@@@@   @@@@@@@@@@@                                +      #
#@@@@   @@@@@@@@@@@   @@@@@@@@@@@@@@     !                #
#@@@@   @@@@@@@@@@@   @@@@@@@@@@@@@@                      #
#@@@@   @@@@@@@@@@@   @@@@@@@@@@@@@@#################     #
#@@@@   @@@@@@@@@@@ + @@@@@@@@@@@@@@#               #     #
#@@@@   @@@@@@@@@@@   @@@@@@@@@@@@@@#    D          #     #
#@@@@!  @@@@@@@@@@@   @@@@@@@@@@@@@@#               #     #
#@@@@   @@@@@@@@@@@   @@@@@@@@@@@@@@#               #     #
#@@@@   @@@@@@@@@@@   @@@@@@@@@@@@@@#        +      #     #
#@@@@   @@@@@@@@@@@   @@@@@@@@@@@@@@#               #     #
#@@@@   @@@@@@@@@@@   @@@@@@@@@@@@@@#               #     #
#@@@@                         @@@@@@#        !      #     #
#@@@@   +      !              @@@@@@#@@@@@@@@@@@    #   + #
#@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@#               #     #
#@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@#               #     #
#@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@#      @@@@@@@@@#     #
#####################################               #     #
#                                                   #     #
#     ###############################################     #
#               +                            !            #
###########################################################

